,Florida,California,Texas,New York,Virginia,Arizona,Massachusetts,Utah,the District of Columbia,Washington,Colorado,Michigan,Connecticut,New Jersey,Nevada,Pennsylvania,Missouri,Maine,South Carolina,Maryland,North Carolina,Minnesota,Indiana,Georgia,Illinois,New Hampshire,Iowa,Hawaii,Idaho,Tennessee,New Mexico,Mississippi,Ohio,Kansas,Oregon,Montana,Alabama,West Virginia,Vermont,Wisconsin,Rhode Island,North Dakota,Louisiana,Wyoming,Arkansas,Oklahoma,Kentucky,Alaska,Nebraska,Delaware,South Dakota
2020-09-01,257394.78507377743,559469.7852601794,224438.59298394725,353705.9943900231,288774.5733663685,298989.3067475564,443075.85239998973,364968.7029108826,590753.1879351878,428354.81482405,411923.15874064295,175128.15585127418,264107.9678877643,365180.5525667932,313874.8730033445,199092.41299464912,175986.26969104746,254840.46420453512,205662.87672568148,326817.8493794587,222104.94777236646,258260.46135857038,165711.91677034835,221166.37703162027,196227.02466686477,302196.7410714228,164223.60461323,621085.9945338359,315839.43922473624,219983.53750882144,212191.2652970465,150267.6752569815,159364.45913489448,162136.66488537146,375724.3728392056,282418.58584985853,171388.49957124717,122619.62304615752,276155.41817836865,215492.68100210628,311848.59221584,223866.22322174485,196916.56044542475,259705.6689707789,159231.79960403146,149449.38068689054,158134.63104013298,309579.19202562113,188300.07707617385,280467.3028820246,215898.4588598212
2020-10-01,260379.35404347544,568610.025124827,226885.15354585522,357015.4820161851,292609.6571452772,304075.9275337753,449372.6779860591,371285.022282348,595113.4109093471,435489.8775511516,416936.11503180926,177600.31177649632,268102.23778253334,369765.0139631362,316728.66461869905,201785.25104485915,178700.82018695623,259973.67283080428,208394.7034636247,330609.5838844032,225587.1660351639,261246.90826974428,167802.7826813395,224511.94734575786,198331.47089769226,307706.9410182659,166023.2541153533,627064.5119046299,322879.34843755787,222952.25599275887,215283.1909433311,151777.7231206465,161904.09392835878,163936.51833397872,381249.33668898785,287106.21361058834,173536.54560196807,124512.57704596838,280183.97706315113,218772.77629354259,316466.48374626815,225035.3047904539,198811.6932306202,262030.51999677383,161108.0134846998,151438.57237255565,160555.0662785989,311521.6205919399,190727.0055104779,284198.7733616105,218393.63568782373
2020-11-01,263883.55055077915,579253.3543971536,229675.3735242357,361389.1965537422,296753.5817310344,309699.9226078069,456697.7951560368,378499.30343300506,599702.3290969987,443501.6414289282,422656.10539102723,180414.2970100174,272941.30847638217,375408.5768347893,320368.3887829757,205007.2223166096,181602.61206917884,265476.9227706364,211347.23191881113,334923.35481422214,229329.12473754212,264735.8364320944,170428.2992092633,228261.38355678777,200818.68309298018,313783.63542527705,167765.59669766095,634161.6677110124,331565.8568589818,226191.75344064887,218330.55651258214,153001.42017419633,164699.36969240167,165734.20091234267,387824.4749839543,292835.62351829716,175816.15443038798,126762.50627166359,283958.56936467614,221992.08515639798,321971.8865038611,225987.12228679718,200179.20775265107,264697.184444748,162923.24889009306,153758.5474807065,163067.7227407524,313408.6810810769,193200.9063178125,288919.13419452216,221170.33084749462
2020-12-01,267366.42000501393,589869.7008882022,232378.70934159184,366213.6061811095,300709.5409711538,315191.2575913586,464028.38578898925,385839.863518745,603472.1820035311,451173.6736087425,428255.76876653684,182979.89097867263,277977.82254970784,381398.5956782385,324453.65951736626,208040.2088245177,184084.60499183772,270855.63893721765,214124.8431643896,339089.9469362477,233037.09202092592,268179.12197669485,172984.6067904993,231991.1773087138,203148.9723989372,319760.9162260778,168966.2752851209,641349.0997759983,341290.1529010656,229138.5170330077,221112.38704833473,153853.16102816098,167322.0179103009,167198.43214731014,394643.85054686427,299029.9537486629,177770.7078557969,128922.98705862452,287633.8623377539,224746.34134175963,327786.73801019083,226256.90292698474,200723.08425911155,267150.3463983499,164323.42305037682,156034.87981391387,165236.82842413388,315008.2236143449,195386.17265580525,294326.8352268601,223570.84683454034
2021-01-01,270971.1322747543,598685.3632565401,235216.68087371733,370780.48441189766,304328.93249655777,320600.0578552188,470657.7838398025,393204.27709909895,606173.434175159,458622.3130789809,433644.34383717173,185617.63691275837,282735.09320563235,386981.03463760467,328624.9006749696,210832.6466037558,186229.76250535957,275846.78114830697,216721.89450053754,342949.0449436094,236559.1586977806,271343.0885555306,175343.42300887418,235727.3729324032,205457.4162188978,325471.9594938877,169874.77233005172,648100.1150028951,351765.0798408677,232088.69739933943,223831.32814290115,154921.78397843285,169621.7374899882,168609.59489349136,401356.44783424423,305393.9624227697,179598.29801306865,131032.12199691015,291528.12938317977,227033.85718357647,333216.7476256777,226672.36333829715,201093.5174411015,269499.12602230714,165684.48367422263,158176.3283944611,167068.4393364494,316057.14961032796,197566.5142229922,299646.9184700146,225796.07756394116
2021-02-01,274562.43643732596,606227.9148306721,238239.61001837277,375546.10055345757,307922.58360581804,326218.8182859626,477214.7440699236,401243.4574958673,608457.6553191994,466691.95361523586,439750.60753134714,188503.33013762618,287324.7169669952,392654.2950561827,333047.13473915384,213558.4323367883,188462.3319956249,280676.6125653279,219388.88796425468,347154.0915575489,240188.51065243807,274558.41614968685,177715.9678954666,239617.93490616014,207977.21629782428,331453.35001611157,170913.82231604413,654760.8352660122,363407.85497743037,235265.0267154012,226999.43876787953,156257.63816864544,171785.64231146654,170132.885334291,408444.1685344957,312106.1717784419,181492.05933620592,133025.15164953526,295864.6022576115,229262.19406044294,338885.73582374264,227207.3461993212,201846.35803813333,271823.0997658498,167163.35683761185,160133.841286062,168763.67207804017,316623.8603788253,199926.48094832493,304891.35118220135,228225.8612241596
2021-03-01,278400.03870823426,613060.8427946259,241662.20788900592,379999.0327832562,311572.47379165393,332791.77922059194,483839.6556589128,410163.28413532086,611688.013849265,475679.3609262204,447165.1759352289,191570.0051703047,291794.96849566937,397896.03867920995,338190.8692643084,216395.73778073722,191123.42345685326,285323.32455717894,222146.69637841044,351790.7526272498,243897.51999947798,277764.50728536997,180431.5157517922,243696.82584293233,210546.78728511464,337630.6557128923,172205.31529831514,661819.7630058468,376434.22258238174,238637.0017551655,230401.79034860808,157845.9815177803,174012.30936921018,172060.10926406315,416033.2066502492,319533.934673513,183558.60081239356,135075.19524638218,299593.41774951597,231401.64517141576,344777.85039596347,227662.05302694812,202791.64979186837,274495.0888201055,168939.03690868427,162037.65489255238,170456.96845072685,316869.8858560706,202605.27507911585,309231.04049808596,230860.58970198152
2021-04-01,282667.65689461323,622006.0534032746,245460.49704239678,384136.3395718334,315483.8519593518,340482.75221992726,491205.29641732597,420162.6294929771,615991.6045034103,485899.6780823523,455791.9065090294,194720.14243977927,296211.9033707745,403253.126770759,344236.89771668933,219305.50060687657,194293.45184778023,290419.5802182355,225038.96773352873,356816.71153719164,247925.09284467922,281334.38869081467,183355.5209918185,247959.07069509162,212967.83871818264,344578.5647076056,173872.43421221856,670484.4597779444,390446.7061064436,242307.7166181841,233982.25473047732,159676.90804696025,176408.28360544323,174345.1253804782,423998.46394592215,327960.1623861655,185859.4172365395,136784.28114136722,303325.3223186407,234048.64287955977,351260.9817853079,228540.7610867751,203763.38899830575,277425.36500146776,170910.59818382064,163913.3813053984,172209.68121090415,317757.0619789909,205596.4475946039,313428.1954249576,233995.9425410781
2021-05-01,287832.1542240518,632717.3995803397,249807.25434599014,388272.3995854116,319644.4214080428,349661.99432775803,498890.5807305092,431267.7986968411,621201.5021480637,496339.6395525536,465121.530481694,197947.26253536026,300812.8943843422,408511.76832503057,351498.3546169456,222228.02707571723,197643.36848063927,296245.36602952995,228409.1992724431,361715.24183195137,252455.21532729545,285363.1034067169,186383.5667100571,252558.39838911305,215144.70358822754,351864.45345901744,175788.70139197473,680735.3444893203,404993.3456420053,246504.82433268373,237530.7453409316,161686.21605774527,178923.2632415327,176973.48786298317,431796.7094415724,337480.7229648872,188442.13873679427,138250.58807793242,308267.637008569,237664.0690556816,357811.2282897508,230068.1227326266,204740.13559565172,280172.6403977486,173121.62392819868,165863.41922589074,174099.37580510267,319718.54088154907,208792.99212346043,317579.25816959795,237763.22651123125
2021-06-01,294154.81700729654,644217.8257111724,254458.02229242082,392146.17690532864,323745.47870770184,359752.9868993536,506161.2965770385,442512.91326497943,626152.3228657591,506132.9605044637,474283.20702455845,201289.90836499623,305426.9294587783,413717.9247503183,359782.51900429436,225291.96336900027,200877.76727915622,302934.0852713276,232360.2175976523,366048.37189212505,257562.98997640083,289758.4740283151,189418.68669782567,257543.4805130635,217413.54924375264,359048.50133866334,177859.34739701086,692297.2707042514,418144.50966018235,251684.68571490748,241124.4770887684,163902.63451571006,181508.78868677103,179664.79176562233,438865.4977111064,347040.31737730704,191393.13209388743,139767.07381505508,314667.9968949121,241930.70295152767,363958.1029495627,232270.51552808052,206023.570208727,282544.44062172406,175702.101542637,167999.28260332756,176253.37738987562,322396.01761107123,211923.05712960623,322174.36827502423,241988.87111117595
