Date,Florida_lag1,Florida_lag2,Florida_lag3
2018-12-01,0.5959829153499533,0.6144098182696367,0.6338484442823945
2019-01-01,0.6178373859676962,0.6352510188750354,0.654084703554782
2019-02-01,0.637559636335697,0.6577747921434557,0.6755733432035846
2019-03-01,0.6552567628946367,0.6781010449912926,0.6987968252121516
2019-04-01,0.6672237689776245,0.6963401537342188,0.7197545200747245
2019-05-01,0.6758646902743102,0.7086736545739137,0.7385602329850708
2019-06-01,0.6805089521198708,0.7175792078367231,0.7512768782575967
2019-07-01,0.6872375275664361,0.7223657022175871,0.7604590855862933
2019-08-01,0.6959376743478355,0.7293003432083808,0.765394274056422
2019-09-01,0.7078028558995129,0.7382669357620857,0.7725443420475328
2019-10-01,0.7195982901902657,0.7504954936499922,0.7817894848736274
2019-11-01,0.7352293449643068,0.7626521682368279,0.794397927105582
2019-12-01,0.7566090057265588,0.7787619308494682,0.8069322529570686
2020-01-01,0.7829576674930195,0.8007963530044367,0.8235424708694237
2020-02-01,0.814880131025346,0.8279519539766349,0.8462613999043975
2020-03-01,0.8449552851367272,0.8608520568136163,0.8742605989326473
2020-04-01,0.8713786725404302,0.8918482755766362,0.9081827547459407
2020-05-01,0.8874509191831744,0.9190808906911587,0.9401418816736593
2020-06-01,0.8918833741921172,0.9356453568650224,0.9682204873149735
2020-07-01,0.8941059477258083,0.940213557732942,0.9852995343106024
2020-08-01,0.9035993177333604,0.9425041985460216,0.9900096479049528
2020-09-01,0.9297681693429777,0.9522883071315541,0.9923714482603679
2020-10-01,0.9717391747087349,0.9792585911827916,1.0024595035341508
2020-11-01,1.0214042178635074,1.0225149768093769,1.030267628707744
2020-12-01,1.0797161793309793,1.0737010334725938,1.0748677887867437
2021-01-01,1.1376732456622398,1.1337988240758528,1.1276439578522695
2021-02-01,1.1976578505599136,1.1935308507252782,1.1896087069285817
2021-03-01,1.2574193363982133,1.255352510189959,1.2511963294684116
2021-04-01,1.3212793725811933,1.3169442174772061,1.314938499983453
2021-05-01,1.3922951351742252,1.3827599949928047,1.3784435747778165
2021-06-01,1.4782355122750523,1.4559506461463856,1.446303941990639
2021-07-01,1.5834484670337081,1.5445229846065096,1.5217682858199049
2021-08-01,1.6911915595970075,1.652958131782326,1.6130921543463825
2021-09-01,1.7870443159996308,1.7640009033315003,1.7248958765524052
2021-10-01,1.8647121969898128,1.8627891920129478,1.8393882298771167
2021-11-01,1.941183048564302,1.9428356855775755,1.941245410621666
2021-12-01,2.026728880600131,2.0216484901809704,2.023778575957395
2022-01-01,2.1191990740521045,2.109814200462191,2.1050397273612704
2022-02-01,2.235281205390764,2.205116333734102,2.1959443356650308
2022-03-01,2.370299284255818,2.324753530741484,2.294207062386819
2022-04-01,2.5296639461388084,2.4639065968892027,2.4175608299436875
2022-05-01,2.6972507059426736,2.628151870729729,2.5610367338078692
2022-06-01,2.8578644025532074,2.8008710478095393,2.7303843434011332
2022-07-01,3.0006301875234747,2.966403608608402,2.908469100943572
2022-08-01,3.097498388977544,3.113541657724434,3.079143987505953
